1787794973 5.72 4.11 3.67 26/4561 91347 | === RUN 5 ===
1787794978 5.58 4.11 3.67 2/4562 91357 | === RUN 5 ===
1787794983 5.29 4.07 3.66 5/4554 91367 | === RUN 5 ===
1787794988 4.95 4.02 3.65 2/4531 91377 | === RUN 5 ===
1787794993 4.71 3.99 3.64 3/4539 91387 | === RUN 5 ===
1787794998 4.41 3.94 3.62 3/4557 91397 | === RUN 5 ===
1787795003 4.38 3.94 3.63 4/4581 91407 | === RUN 5 ===
1787795008 4.27 3.92 3.62 10/4612 91417 | === RUN 5 ===
1787795013 4.65 4.01 3.65 4/4579 91427 | === RUN 5 ===
1787795018 4.52 3.99 3.65 3/4558 91437 | === RUN 5 ===
1787795023 4.31 3.96 3.64 7/4598 91447 | === RUN 5 ===
1787795028 4.13 3.92 3.63 2/4608 91455 | === RUN 5 ===
1787795033 3.88 3.87 3.62 32/4637 91465 | === RUN 5 ===
1787795038 4.05 3.91 3.63 6/4662 91475 | === RUN 5 ===
1787795043 3.88 3.88 3.62 3/4620 91485 | === RUN 5 ===
1787795048 3.81 3.86 3.62 5/4625 91495 | === RUN 5 ===
1787795053 3.83 3.87 3.62 8/4654 91505 | === RUN 5 ===
1787795058 4.08 3.92 3.64 5/4696 91515 | === RUN 5 ===
1787795063 4.00 3.90 3.63 7/4738 91525 | === RUN 5 ===
1787795068 4.00 3.91 3.64 3/4700 91535 | === RUN 5 ===
1787795073 5.20 4.16 3.72 19/4727 91545 | === RUN 5 ===
1787795078 5.50 4.24 3.75 3/4746 91555 | === RUN 5 ===
1787795083 5.30 4.22 3.74 3/4684 91565 | === RUN 5 ===
1787795088 5.12 4.20 3.74 6/4675 91575 | === RUN 5 ===
1787795093 4.79 4.14 3.72 14/4723 91585 | === RUN 5 ===
1787795098 4.88 4.17 3.74 6/4738 91595 | === RUN 5 ===
1787795103 4.73 4.15 3.73 5/4776 91605 | === RUN 5 ===
1787795108 4.83 4.18 3.75 2/4815 91615 | === RUN 5 ===
1787795113 5.01 4.23 3.76 3/4930 91625 | === RUN 5 ===
1787795118 4.85 4.21 3.76 3/4977 91635 | === RUN 5 ===
1787795123 4.70 4.19 3.75 4/5042 91645 | === RUN 5 ===
1787795128 4.56 4.17 3.75 15/4226 91655 | === RUN 5 ===
1787795133 4.44 4.15 3.75 2/4282 91717 | === RUN 6 ===
1787795138 4.40 4.15 3.75 16/4272 91727 | === RUN 6 ===
1787795143 4.29 4.13 3.74 4/4253 91737 | === RUN 6 ===
1787795148 4.19 4.11 3.74 3/4343 91747 | === RUN 6 ===
1787795153 4.09 4.09 3.73 22/4336 91757 | === RUN 6 ===
1787795158 4.08 4.09 3.73 3/4328 91767 | === RUN 6 ===
1787795163 4.16 4.10 3.74 4/4310 91777 | === RUN 6 ===
1787795168 4.06 4.09 3.74 5/4305 91787 | === RUN 6 ===
1787795173 4.06 4.08 3.74 4/4299 91797 | === RUN 6 ===
1787795178 4.05 4.08 3.74 6/4367 91807 | === RUN 6 ===
1787795183 4.05 4.08 3.74 6/4397 91817 | === RUN 6 ===
1787795188 3.97 4.06 3.74 6/4355 91827 | === RUN 6 ===
1787795193 3.97 4.06 3.74 6/4333 91837 | === RUN 6 ===
1787795198 4.13 4.09 3.75 8/4339 91847 | === RUN 6 ===
1787795203 4.04 4.08 3.75 5/4360 91857 | === RUN 6 ===
1787795208 3.88 4.04 3.74 4/4395 91867 | === RUN 6 ===
1787795213 3.73 4.01 3.73 21/4496 91877 | === RUN 6 ===
1787795218 3.67 3.99 3.72 4/4430 91887 | === RUN 6 ===
1787795223 3.78 4.01 3.73 5/4432 91897 | === RUN 6 ===
1787795228 3.63 3.97 3.72 4/4384 91907 | === RUN 6 ===
1787795233 3.50 3.94 3.71 3/4380 91917 | === RUN 6 ===
1787795238 3.38 3.91 3.70 2/4409 91927 | === RUN 6 ===
1787795243 3.27 3.88 3.69 3/4455 91937 | === RUN 6 ===
1787795248 3.33 3.88 3.69 3/4423 91947 | === RUN 6 ===
1787795253 3.22 3.85 3.69 3/4411 91957 | === RUN 6 ===
1787795258 3.04 3.80 3.67 2/4412 91967 | === RUN 6 ===
1787795263 3.04 3.79 3.67 4/4419 91977 | === RUN 6 ===
